Entry,Exit,Ticker,Lev,PnL%,Reason
2000-10-26,2000-10-27,NASDAQ,1.0,0.19,MOM_REV: -13.2%
2000-10-27,2000-10-30,HANGSENG,1.0,-0.69,MOM_REV: -4.2%
2000-10-27,2000-10-30,XLE,1.0,1.71,MOM_REV: -3.4%
2000-10-27,2000-10-30,SP500,1.0,1.38,MOM_REV: -2.6%
2000-10-27,2000-10-31,XLF,1.0,4.49,MOM_REV: -2.2%
2000-10-30,2000-10-31,HANGSENG,1.0,0.64,MOM_REV: -3.4%
2000-10-30,2000-10-31,XLE,1.0,0.69,MOM_REV: -4.7%
2000-09-22,2000-11-01,DXY,1.0,1.76,TRAIL
2000-10-31,2000-11-01,XLF,1.0,-0.43,MOM_REV: -2.6%
2000-10-31,2000-11-01,NASDAQ,1.0,-1.08,MOM_REV: -3.5%
2000-10-31,2000-11-02,HANGSENG,1.0,2.66,MOM_REV: -2.8%
2000-10-31,2000-11-02,XLE,1.0,-0.39,MOM_REV: -2.1%
2000-10-20,2000-11-03,USDJPY,1.0,-1.73,TRAIL
