donchian_entry,donchian_exit,sma_filter,atr_multiplier,risk_per_trade,cagr,sharpe,sortino,max_dd,calmar,win_rate,final_equity
80,30,150,2.5,0.005,0.07774377269510602,0.41982549605882025,0.47823092374456677,-0.15870923433996414,0.48985034184321286,0.8,1444759.8130454319
80,20,200,3.0,0.0075,0.08364782731532228,0.4189579671464141,0.4109509592187823,-0.22815034025568193,0.3666346814191923,0.8,1461080.172354643
55,20,150,3.0,0.0075,0.08526990315097738,0.41757253013985346,0.45108912903128917,-0.21888281983067,0.3895687346176509,0.8,1495024.3371854774
40,20,200,3.0,0.0075,0.08441402334786474,0.41735772663183784,0.43120652409644245,-0.2231405399643267,0.37829980765198445,0.8,1465962.6916210544
80,10,200,2.0,0.0075,0.09775809955487902,0.4157276206515687,0.3689817270758838,-0.29302410682035684,0.3336179422767124,0.6,1553079.2117757164
55,20,150,2.5,0.005,0.07662507474044444,0.4142910444626111,0.4689636677352661,-0.16821958471850484,0.4555062650325005,0.8,1437404.7756333617
55,30,200,3.0,0.01,0.09431677572070929,0.4140752539544053,0.3974128653631412,-0.2911639981372689,0.32393007488598835,0.6,1530232.3259660576
80,20,200,2.5,0.005,0.07412409489753258,0.4078382130693539,0.41407851206172086,-0.17569458116457976,0.42189175332674456,0.8,1401453.6732449646
40,10,200,2.0,0.01,0.10796717502061637,0.4057266844055104,0.3458406721333097,-0.3692717328226995,0.29237866163033727,0.6,1622442.7385322694
55,30,150,2.5,0.0075,0.09033709053550765,0.40539634808732955,0.431269015028073,-0.2316619697382741,0.3899521817826561,0.6,1529643.7978192158
80,20,150,3.0,0.005,0.06901843087937509,0.4024309511719376,0.43438933969171756,-0.15263582974283296,0.45217712640380797,0.8,1388180.8665271509
40,30,200,3.0,0.01,0.09188965210334676,0.4007016323188909,0.3797311675362665,-0.2911639981372689,0.31559414175933076,0.6,1514278.6227130024
80,10,150,2.5,0.0075,0.08589126126105762,0.39959003094316947,0.38084903619931904,-0.24552024854263438,0.3498337174668617,0.8,1499235.6098743838
80,10,250,3.0,0.005,0.06651450975093054,0.3993070171953759,0.4326008099975208,-0.11293743006660842,0.5889500913178342,0.75,1337166.3721098246
80,10,150,2.0,0.005,0.07932631835207715,0.39864411330703675,0.39858714899138936,-0.1975737429928959,0.40150233097992916,0.8,1455215.648467195
40,10,150,2.0,0.01,0.10537876118891987,0.39793442597939044,0.3493419922304398,-0.36107123644699385,0.29185033464827026,0.6,1636186.714204372
80,30,200,3.0,0.01,0.08986540289664036,0.396855428025329,0.3544427196846213,-0.2977074502118383,0.3018580920050716,0.6,1501073.5615895626
40,30,150,3.0,0.0075,0.08190446225559911,0.3955027659277976,0.4290067251173172,-0.20708227938906304,0.3955165188312335,0.6,1472378.3765379733
80,10,150,3.0,0.01,0.08676719075638983,0.3837765041133835,0.35216050144227945,-0.2755794213848708,0.31485366476334914,0.8,1505188.2905092628
40,30,150,2.5,0.005,0.07276597939479545,0.3823550138243851,0.434475221373526,-0.15855531962267067,0.45893117662632604,0.6,1412261.1761820526
55,30,150,3.0,0.01,0.0893458561490228,0.3823213429142678,0.38223195839596874,-0.2703425210090129,0.3304913182563838,0.6,1522821.8662954788
55,30,200,2.5,0.005,0.07086652230530266,0.38202615927613137,0.40303702338372577,-0.17164749961348763,0.41286079007779586,0.8,1381504.937146317
80,10,200,2.5,0.01,0.09242512885302956,0.3815622331737234,0.3198689542436153,-0.32550134873039904,0.28394699196648165,0.6,1517787.0368109308
55,10,200,2.0,0.01,0.09768167167705721,0.3708386925099352,0.2989896750435445,-0.3692717328226995,0.2645251802253645,0.6,1552568.90709307
40,10,200,2.0,0.0075,0.08931836564444251,0.3706419715450506,0.3366743636757012,-0.285782658450842,0.3125394876253708,0.8,1497520.6239588028
55,30,200,3.0,0.0075,0.07627770495430042,0.3702426858260997,0.3683221980514376,-0.2231405399643267,0.3418370546494818,0.6,1414766.1220242262
40,30,200,2.5,0.005,0.06940410082733117,0.36890203784912146,0.3856752971925414,-0.17164749961348763,0.404340878740523,0.8,1372622.4724031002
40,10,150,2.0,0.0075,0.0876732354105898,0.36455715042581877,0.3415393106312343,-0.2795237553671016,0.3136521806364814,0.6,1511365.4213109242
55,10,150,2.0,0.01,0.09450504753106603,0.3605724610692987,0.2970862512513544,-0.3610712364469935,0.26173518683186414,0.6,1558595.637283148
80,30,200,3.0,0.0075,0.07409892470849333,0.3601672798791782,0.3366197437796878,-0.22815034025568193,0.3247811273279394,0.8,1401298.6706845337
40,30,200,3.0,0.0075,0.07445889230022651,0.35725037373060675,0.35129835948566035,-0.2231405399643267,0.3336860810327437,0.6,1403516.7015584328
