date,asset,action,price,signals,bubble_score,pnl_pct,reason
2009-10-16,CRUDE,COVER,78.52999877929688,,,-16.323502139473824,stop_loss (-16.3%)
2009-10-23,HANGSENG,COVER,22589.73046875,,,-15.714222255660282,stop_loss (-15.7%)
2009-10-27,SUGAR,SHORT,22.649999618530277,"['broke_50sma', 'lower_high']",5.0,,
2009-10-28,SILVER,SHORT,16.231000900268555,"['broke_50sma', 'lower_high']",3.0,,
2009-11-25,COPPER,COVER,3.1659998893737797,,,-16.162163467224484,stop_loss (-16.2%)
2009-11-25,SILVER,COVER,18.766000747680664,,,-15.61825954535044,stop_loss (-15.6%)
2009-11-27,HANGSENG,SHORT,21134.5,"['broke_50sma', 'rsi_breakdown', 'lower_high', 'momentum_flip']",3.0,,
2009-12-02,NATGAS,SHORT,4.53000020980835,"['broke_50sma', 'lower_high']",3.0,,
2009-12-10,NATGAS,COVER,5.297999858856201,,,-16.953633851605126,stop_loss (-17.0%)
2009-12-16,SILVER,SHORT,17.679000854492188,"['lower_high', 'momentum_flip']",4.0,,
2009-12-17,SOYBEANS,COVER,1022.0,,,13.316369804919423,time_stop (126 days)
2009-12-17,SUGAR,COVER,26.43000030517578,,,-16.688745034472465,stop_loss (-16.7%)
2010-01-15,CRUDE,SHORT,78.0,"['rsi_breakdown', 'lower_high']",3.0,,
2010-01-20,NATGAS,SHORT,5.495999813079834,"['lower_high', 'momentum_flip']",3.0,,
2010-03-08,XLF,COVER,9.331002235412598,,,-9.20379818916791,time_stop (126 days)
2010-03-15,NATGAS,PARTIAL_COVER,4.390999794006348,,,20.105532326324248,
2010-04-09,COTTON,SHORT,78.06999969482422,"['broke_50sma', 'lower_high']",4.0,,
2010-06-03,HANGSENG,COVER,19786.7109375,,,6.377198715370602,time_stop (126 days)
2010-06-11,XLF,SHORT,8.898457527160645,"['rsi_breakdown', 'lower_high']",3.0,,
2010-06-18,SILVER,COVER,19.174999237060547,,,-8.462007524527214,time_stop (126 days)
2010-06-22,COPPER,SHORT,2.990499973297119,"['lower_high', 'momentum_flip']",3.0,,
2010-07-19,CRUDE,COVER,76.54000091552734,,,1.871793698041867,time_stop (126 days)
2010-07-21,NATGAS,COVER,4.513000011444092,,,17.88573207910812,time_stop (126 days)
2010-07-27,PLATINUM,SHORT,1534.5,"['broke_50sma', 'lower_high']",3.0,,
2010-08-11,SUGAR,SHORT,18.26000022888184,"['rsi_breakdown', 'lower_high']",5.0,,
2010-09-01,COTTON,COVER,90.12999725341795,,,-15.447672096498385,stop_loss (-15.4%)
2010-09-01,COPPER,COVER,3.4684998989105225,,,-15.983946827673554,stop_loss (-16.0%)
2010-09-07,SUGAR,COVER,21.450000762939453,,,-17.469882223834755,stop_loss (-17.5%)
2010-09-22,COFFEE,SHORT,179.9499969482422,"['rsi_breakdown', 'momentum_flip']",3.0,,
2010-09-29,WHEAT,SHORT,683.5,"['rsi_breakdown', 'lower_high']",3.0,,
2010-10-01,CORN,SHORT,465.75,"['rsi_breakdown', 'lower_high']",3.0,,
2010-10-11,CORN,COVER,555.75,,,-19.32367149758454,stop_loss (-19.3%)
2010-11-05,PLATINUM,COVER,1769.9000244140625,,,-15.340503383125611,stop_loss (-15.3%)
2010-11-08,COFFEE,COVER,208.1000061035156,,,-15.643239584699748,stop_loss (-15.6%)
2010-11-12,CORN,SHORT,534.0,"['rsi_breakdown', 'lower_high']",3.0,,
2010-11-12,COFFEE,SHORT,200.4499969482422,"['rsi_breakdown', 'lower_high']",3.0,,
2010-11-12,SUGAR,SHORT,26.209999084472656,"['broke_50sma', 'rsi_breakdown', 'lower_high', 'momentum_flip']",3.0,,
2010-12-09,XLF,COVER,9.620882987976074,,,-8.118547047175086,time_stop (126 days)
2010-12-09,SILVER,SHORT,28.78899955749512,"['lower_high', 'momentum_flip']",4.0,,
2010-12-13,SUGAR,COVER,30.489999771118164,,,-16.329648363784447,stop_loss (-16.3%)
2010-12-21,COFFEE,COVER,233.8500061035156,,,-16.662514174992758,stop_loss (-16.7%)
2010-12-27,CORN,COVER,615.25,,,-15.215355805243448,stop_loss (-15.2%)
2010-12-28,WHEAT,COVER,798.25,,,-16.788588149231895,stop_loss (-16.8%)
2011-01-04,COTTON,SHORT,143.77999877929688,"['rsi_breakdown', 'lower_high']",4.0,,
2011-01-06,SUGAR,SHORT,30.239999771118164,"['rsi_breakdown', 'lower_high']",3.0,,
2011-01-10,WHEAT,SHORT,767.25,"['rsi_breakdown', 'lower_high']",3.0,,
2011-01-26,COTTON,COVER,166.8300018310547,,,-16.03143917614,stop_loss (-16.0%)
2011-02-02,SUGAR,COVER,35.310001373291016,,,-16.765878440961977,stop_loss (-16.8%)
2011-02-08,SUGAR,SHORT,31.15999984741211,"['broke_50sma', 'rsi_breakdown', 'lower_high', 'momentum_flip']",3.0,,
2011-02-09,WHEAT,COVER,886.0,,,-15.477354187031606,stop_loss (-15.5%)
2011-02-15,SOYBEANS,SHORT,1368.0,"['broke_50sma', 'rsi_breakdown']",3.0,,
2011-02-23,SILVER,COVER,33.301998138427734,,,-15.676121609990679,stop_loss (-15.7%)
2011-02-23,COPPER,SHORT,4.273499965667725,"['lower_high', 'momentum_flip']",3.0,,
2011-03-10,CORN,SHORT,676.25,"['rsi_breakdown', 'lower_high']",3.0,,
2011-03-10,COTTON,SHORT,200.97999572753903,"['rsi_breakdown', 'lower_high']",6.0,,
2011-04-13,SUGAR,PARTIAL_COVER,24.790000915527344,,,20.44287215365248,
2011-05-06,COTTON,PARTIAL_COVER,153.8000030517578,,,23.47496948887458,
2011-06-09,CORN,COVER,785.5,,,-16.155268022181147,stop_loss (-16.2%)
2011-06-10,XLE,SHORT,22.119773864746094,"['rsi_breakdown', 'lower_high']",3.0,,
2011-07-08,COTTON,COVER,116.58000183105467,,,41.994226137263055,profit_target (42.0%)
2011-07-08,COFFEE,SHORT,263.1499938964844,"['lower_high', 'momentum_flip']",4.0,,
2011-08-09,SUGAR,COVER,27.489999771118164,,,11.77792071330432,time_stop (126 days)
2011-08-09,CORN,SHORT,678.25,"['lower_high', 'momentum_flip']",4.0,,
2011-08-16,SOYBEANS,COVER,1340.0,,,2.046783625730994,time_stop (126 days)
2011-08-16,SILVER,SHORT,39.82099914550781,"['lower_high', 'momentum_flip']",3.0,,
2011-08-23,COPPER,COVER,3.994499921798706,,,6.528607607591859,time_stop (126 days)
2011-09-09,WHEAT,SHORT,701.0,"['rsi_breakdown', 'lower_high']",3.0,,
2011-09-23,SILVER,PARTIAL_COVER,30.051000595092773,,,24.534790085791176,
2011-10-03,XLE,PARTIAL_COVER,17.17914390563965,,,22.33580681844442,
2011-12-08,XLE,COVER,20.859947204589844,,,5.695477123136997,time_stop (126 days)
2011-12-12,GOLD,SHORT,1664.199951171875,"['broke_50sma', 'lower_high']",3.0,,
2012-01-06,COFFEE,COVER,221.75,,,15.732470019653483,time_stop (126 days)
2012-02-08,CORN,COVER,642.5,,,5.270917803169923,time_stop (126 days)
2012-02-15,SILVER,COVER,33.38600158691406,,,16.159809388709622,time_stop (126 days)
2012-03-12,WHEAT,COVER,652.75,,,6.8830242510699,time_stop (126 days)
2012-06-13,GOLD,COVER,1618.0999755859375,,,2.7700983618870683,time_stop (126 days)
