date,year,ticker,category,pattern,stock_return_3m,put_return,pnl,cumulative,peak,drawdown,short_return,short_pnl
2014-04-28,2014,PLUG,bubble,down_50_from_high,-0.068669464657156,-0.4277544611903667,-427.75446119036667,-10265.571157571309,5559.664775378762,-15825.23593295007,0.068669464657156,343.34732328577996
2014-06-13,2014,NVAX,bubble,death_cross,0.3236607197976235,-1.0,-1000.0,-11265.571157571309,5559.664775378762,-16825.23593295007,-0.3236607197976235,-1618.3035989881175
2014-07-09,2014,PLUG,bubble,down_50_from_high,-0.2956120078390708,1.4634333986589236,1463.4333986589236,-9802.137758912384,5559.664775378762,-15361.802534291146,0.2956120078390708,1478.0600391953542
2014-10-01,2014,PLUG,bubble,down_50_from_high,-0.4195011266764989,2.495842722304158,2495.842722304158,-7306.295036608226,5559.664775378762,-12865.959811986988,0.4195011266764989,2097.5056333824946
2015-09-25,2015,NVAX,bubble,below_200sma,-0.3962920436645351,2.3024336972044592,2302.4336972044593,-5003.861339403767,5559.664775378762,-10563.52611478253,0.3962920436645351,1981.4602183226755
2016-11-16,2016,NEM,bubble,below_200sma,-0.0008471316372742,-0.9929405696893816,-992.9405696893816,-5996.801909093148,5559.664775378762,-11556.46668447191,0.0008471316372742,4.235658186371
2017-01-20,2017,NEM,bubble,below_200sma,-0.0156070378382315,-0.8699413513480708,-869.9413513480708,-6866.743260441219,5559.664775378762,-12426.40803581998,0.0156070378382315,78.0351891911575
2017-05-09,2017,CGC,bubble,deep_oversold,1.5294409965869566,-1.0,-1000.0,-7866.743260441219,5559.664775378762,-13426.40803581998,-1.5294409965869566,-7647.204982934783
2017-05-09,2017,CLF,bubble,below_200sma,0.0177993514323229,-0.8,-800.0,-8666.743260441219,5559.664775378762,-14226.40803581998,-0.0177993514323229,-88.99675716161451
2017-06-02,2017,ACB,bubble,deep_oversold,2.638568706810204,-1.0,-1000.0,-9666.743260441219,5559.664775378762,-15226.40803581998,-2.638568706810204,-13192.84353405102
2017-07-13,2017,CGC,bubble,death_cross,3.859314347647598,-1.0,-1000.0,-10666.743260441219,5559.664775378762,-16226.40803581998,-3.859314347647598,-19296.57173823799
2017-08-04,2017,ACB,bubble,death_cross,2.878947374265324,-1.0,-1000.0,-11666.743260441219,5559.664775378762,-17226.40803581998,-2.878947374265324,-14394.73687132662
2017-09-13,2017,AMD,bubble,below_200sma,-0.0621931433939831,-0.4817238050501408,-481.7238050501408,-12148.467065491359,5559.664775378762,-17708.13184087012,0.0621931433939831,310.9657169699155
2018-01-16,2018,RIOT,bubble,down_50_from_high,-0.6559081112919104,4.465900927432587,4465.900927432587,-7682.566138058772,5559.664775378762,-13242.230913437534,0.6559081112919104,3279.540556459552
2018-02-02,2018,PLUG,bubble,below_200sma,0.0051546341073744,-0.8,-800.0,-8482.566138058772,5559.664775378762,-14042.230913437534,-0.0051546341073744,-25.773170536872
2018-04-05,2018,RIOT,bubble,below_200sma,-0.5246537366301494,3.3721144719179117,3372.1144719179115,-5110.45166614086,5559.664775378762,-10670.116441519622,0.5246537366301494,2623.2686831507467
2018-04-09,2018,ACB,bubble,down_50_from_high,0.7577719414231245,-1.0,-1000.0,-6110.45166614086,5559.664775378762,-11670.116441519622,-0.7577719414231245,-3788.8597071156228
2018-07-16,2018,ACB,bubble,below_200sma,0.1841762222065048,-1.0,-1000.0,-7110.45166614086,5559.664775378762,-12670.116441519622,-0.1841762222065048,-920.881111032524
2018-08-01,2018,MTCH,bubble,deep_oversold,0.5554217716400662,-1.0,-1000.0,-8110.45166614086,5559.664775378762,-13670.116441519622,-0.5554217716400662,-2777.1088582003313
2018-08-13,2018,RIOT,bubble,down_50_from_high,-0.6855439816542057,4.712866513785047,4712.866513785048,-3397.585152355812,5559.664775378762,-8957.249927734574,0.6855439816542057,3427.7199082710285
