Entry,Exit,Ticker,Entry$,Exit$,Leverage,PnL$,PnL%,Days,Reason
2021-01-29,2021-02-22,NASDAQ,13070.69,13533.05,2.5,4805.9,8.84,24,TRAILING STOP
2021-01-21,2021-02-25,BTC,30825.7,47093.85,1.0,26003.68,52.77,35,TRAILING STOP
2020-12-28,2021-02-26,NATGAS,2.31,2.77,1.5,13382.97,30.33,60,TRAILING STOP
2021-01-29,2021-02-26,SP500,3714.24,3811.15,2.5,3367.56,6.52,28,TRAILING STOP
2021-02-01,2021-02-26,NIKKEI,28091.05,28966.01,2.5,4016.58,7.79,25,TRAILING STOP
2021-02-22,2021-02-26,COPPER,4.15,4.09,1.0,-756.09,-1.4,4,TRAILING STOP
2020-12-04,2021-03-01,SUGAR,14.44,16.21,1.0,5431.02,12.26,87,TRAILING STOP
2021-02-04,2021-03-03,COFFEE,124.05,131.15,1.0,2928.14,5.72,27,TRAILING STOP
2021-01-29,2021-03-04,RUSSELL2000,2073.64,2146.92,1.0,2021.54,3.53,34,TRAILING STOP
2021-02-22,2021-03-04,XLK,63.98,60.86,1.0,-2508.46,-4.88,10,TRAILING STOP
2021-02-26,2021-03-04,NASDAQ,13192.35,12723.47,1.0,-2061.71,-3.55,6,TRAILING STOP
2021-02-05,2021-03-08,EURUSD,1.2,1.19,1.0,-174.49,-0.34,31,TRAILING STOP
2020-09-23,2021-03-09,GBPUSD,1.27,1.38,2.5,8981.29,21.18,167,TRAILING STOP
2020-12-01,2021-03-11,WHEAT,565.5,636.25,1.5,8355.93,18.77,100,TRAILING STOP
2021-02-26,2021-03-12,NATGAS,2.77,2.6,1.0,-3768.12,-6.17,14,STOP LOSS: -6.2%
2021-02-25,2021-03-18,XLE,20.41,20.5,1.5,320.06,0.61,21,TRAILING STOP
2021-03-04,2021-03-18,COFFEE,128.4,126.4,1.5,-1220.98,-2.34,14,TRAILING STOP
2021-03-01,2021-03-23,NIKKEI,29663.5,28995.92,1.0,-1175.25,-2.25,22,TRAILING STOP
2021-03-04,2021-03-23,RUSSELL2000,2146.92,2185.69,1.0,1045.65,1.81,19,TRAILING STOP
2021-02-26,2021-03-25,BTC,46339.76,51704.16,1.0,6060.43,11.58,27,TRAILING STOP
2021-03-11,2021-03-25,WHEAT,636.25,612.5,1.0,-1947.58,-3.73,14,TRAILING STOP
2021-03-08,2021-03-26,EURUSD,1.19,1.18,1.0,-651.95,-1.25,18,TRAILING STOP
2021-01-22,2021-03-30,SOYBEANS,1311.75,1366.75,1.0,2083.21,4.19,67,TRAILING STOP
2021-03-18,2021-03-30,COFFEE,126.4,122.6,1.0,-1571.03,-3.01,12,TRAILING STOP
2021-03-03,2021-04-14,USDJPY,106.76,108.92,1.5,1592.12,3.04,42,TRAILING STOP
2021-03-25,2021-04-18,BTC,51704.16,56216.18,1.5,6864.32,13.09,24,TRAILING STOP
2021-03-18,2021-04-20,XLE,20.5,19.69,1.0,-2166.74,-3.94,33,TRAILING STOP
2021-03-23,2021-04-20,NIKKEI,28995.92,29100.38,1.5,283.09,0.54,28,TRAILING STOP
2021-04-18,2021-04-22,BTC,56216.18,51762.27,1.0,-4166.86,-7.92,4,STOP LOSS: -7.9%
2021-03-09,2021-04-29,COPPER,4.02,4.49,1.0,6141.82,11.78,51,TRAILING STOP
2021-03-04,2021-05-04,NASDAQ,12723.47,13633.5,2.5,9836.03,17.88,61,TRAILING STOP
2021-03-23,2021-05-11,RUSSELL2000,2185.69,2206.99,1.0,537.39,0.97,49,TRAILING STOP
2021-03-26,2021-05-11,HANGSENG,28336.43,28013.81,1.0,-596.52,-1.14,46,TRAILING STOP
2021-02-26,2021-05-12,SP500,3811.15,4063.04,2.5,9105.58,16.52,75,TRAILING STOP
2021-03-30,2021-05-12,COFFEE,122.6,145.75,1.5,14771.47,28.32,43,TRAILING STOP
2021-04-22,2021-05-12,BTC,51762.27,49150.54,1.5,-3956.37,-7.57,20,TRAILING STOP
2021-05-04,2021-05-12,NASDAQ,13633.5,13031.68,1.0,-2347.87,-4.41,8,TRAILING STOP
