Date,Action,Ticker,Price,Shares,Leverage,PnL%,Reason,Signals,Portfolio,Cash,NumPositions
2002-10-16,LEVERAGE_UP,COFFEE,67.1,239.3586,2.0,19.71,Strength=4 (1.0x->2.0x),Mom12m=46.2% | Mom6m=25.4% | Mom3m=41.0% | Mom1m=10.0% | GoldenCross | AboveSMA50,275967.44,165966.72,7
2002-10-16,DELEVERAGE,NATGAS,4.227,3817.0109,1.0,20.98,MomDecay=41.4%,Mom12m=74.0% | Mom6m=22.9% | Mom3m=43.6% | Mom1m=14.9% | GoldenCross | AboveSMA50,275967.44,165966.72,7
2002-10-16,LEVERAGE_UP,NATGAS,4.227,3817.0109,2.0,20.98,Strength=4 (1.0x->2.0x),Mom12m=74.0% | Mom6m=22.9% | Mom3m=43.6% | Mom1m=14.9% | GoldenCross | AboveSMA50,275967.44,165966.72,7
2002-10-16,DELEVERAGE,SUGAR,6.96,2075.008,1.0,7.24,Pullback=2.2%,Mom12m=13.2% | Mom6m=21.9% | Mom3m=15.4% | Mom1m=1.8% | GoldenCross | AboveSMA50,275967.44,165966.72,7
2002-10-16,LEVERAGE_UP,SUGAR,6.96,2075.008,2.0,7.24,Strength=4 (1.0x->2.0x),Mom12m=13.2% | Mom6m=21.9% | Mom3m=15.4% | Mom1m=1.8% | GoldenCross | AboveSMA50,275967.44,165966.72,7
2002-10-17,DELEVERAGE,COFFEE,66.3,239.3586,1.0,18.29,Pullback=4.9%,Mom12m=46.2% | Mom6m=18.9% | Mom3m=40.0% | Mom1m=12.4% | GoldenCross | AboveSMA50,276723.44,165966.72,7
2002-10-17,LEVERAGE_UP,COFFEE,66.3,239.3586,2.0,18.29,Strength=4 (1.0x->2.0x),Mom12m=46.2% | Mom6m=18.9% | Mom3m=40.0% | Mom1m=12.4% | GoldenCross | AboveSMA50,276723.44,165966.72,7
2002-10-18,DELEVERAGE,COFFEE,62.6,239.3586,1.0,11.69,Pullback=10.2%,Mom12m=38.0% | Mom6m=18.0% | Mom3m=29.2% | Mom1m=7.1% | GoldenCross | AboveSMA50,275805.47,165966.72,7
2002-10-18,SELL,COFFEE,62.6,239.3586,1.0,11.69,"TrailingStop (High=69.70, Stop=63.65)",Mom12m=38.0% | Mom6m=18.0% | Mom3m=29.2% | Mom1m=7.1% | GoldenCross | AboveSMA50,275805.47,165966.72,7
2002-10-18,DELEVERAGE,NATGAS,4.239,3817.0109,1.0,21.32,MomDecay=49.7%,Mom12m=63.5% | Mom6m=17.7% | Mom3m=43.8% | Mom1m=9.9% | GoldenCross | AboveSMA50,275805.47,180950.56,6
2002-10-18,LEVERAGE_UP,NATGAS,4.239,3817.0109,2.0,21.32,Strength=4 (1.0x->2.0x),Mom12m=63.5% | Mom6m=17.7% | Mom3m=43.8% | Mom1m=9.9% | GoldenCross | AboveSMA50,275805.47,180950.56,6
2002-10-18,LEVERAGE_UP,WHEAT,413.0,35.1754,2.0,5.02,Strength=4 (1.5x->2.0x),Mom12m=50.5% | Mom6m=56.0% | Mom3m=21.6% | Mom1m=4.4% | GoldenCross | AboveSMA50 | Breakout,275805.47,180950.56,6
2002-10-18,BUY,COFFEE,62.6,220.2919,2.0,0.0,Strength=4,Mom12m=38.0% | Mom6m=18.0% | Mom3m=29.2% | Mom1m=7.1% | GoldenCross | AboveSMA50,275805.47,167160.29,7
2002-10-21,DELEVERAGE,PLATINUM,590.1,23.7661,1.0,3.89,Pullback=2.2%,Mom12m=31.0% | Mom6m=7.3% | Mom3m=13.0% | Mom1m=5.8% | GoldenCross | AboveSMA50,272906.03,167160.29,7
2002-10-21,SELL,PLATINUM,590.1,23.7661,1.0,3.89,"TrailingStop (High=603.50, Stop=593.44)",Mom12m=31.0% | Mom6m=7.3% | Mom3m=13.0% | Mom1m=5.8% | GoldenCross | AboveSMA50,272906.03,167160.29,7
2002-10-21,DELEVERAGE,NATGAS,4.157,3817.0109,1.0,18.98,MomDecay=43.0%,Mom12m=71.9% | Mom6m=15.8% | Mom3m=43.9% | Mom1m=10.6% | GoldenCross | AboveSMA50,272906.03,181184.65,6
2002-10-21,LEVERAGE_UP,NATGAS,4.157,3817.0109,2.0,18.98,Strength=4 (1.0x->2.0x),Mom12m=71.9% | Mom6m=15.8% | Mom3m=43.9% | Mom1m=10.6% | GoldenCross | AboveSMA50,272906.03,181184.65,6
2002-10-21,DELEVERAGE,SUGAR,7.13,2075.008,1.0,9.86,Pullback=2.2%,Mom12m=10.7% | Mom6m=17.1% | Mom3m=15.6% | Mom1m=3.0% | GoldenCross | AboveSMA50,272906.03,181184.65,6
2002-10-21,LEVERAGE_UP,SUGAR,7.13,2075.008,2.0,9.86,Strength=4 (1.0x->2.0x),Mom12m=10.7% | Mom6m=17.1% | Mom3m=15.6% | Mom1m=3.0% | GoldenCross | AboveSMA50,272906.03,181184.65,6
2002-10-21,DELEVERAGE,CRUDE,28.38,457.7882,1.0,-3.3,Pullback=5.5%,Mom12m=29.0% | Mom6m=7.9% | Mom3m=7.9% | GoldenCross,272906.03,181184.65,6
2002-10-21,BUY,PLATINUM,590.1,23.1237,2.0,0.0,Strength=4,Mom12m=31.0% | Mom6m=7.3% | Mom3m=13.0% | Mom1m=5.8% | GoldenCross | AboveSMA50,272906.03,167539.35,7
2002-10-22,DELEVERAGE,NATGAS,4.12,3817.0109,1.0,17.92,MomDecay=47.9%,Mom12m=65.7% | Mom6m=21.0% | Mom3m=35.4% | Mom1m=3.6% | GoldenCross | AboveSMA50,271919.92,167539.35,7
2002-10-22,LEVERAGE_UP,NATGAS,4.12,3817.0109,2.0,17.92,Strength=4 (1.0x->2.0x),Mom12m=65.7% | Mom6m=21.0% | Mom3m=35.4% | Mom1m=3.6% | GoldenCross | AboveSMA50,271919.92,167539.35,7
2002-10-22,SELL,CRUDE,27.92,457.7882,1.0,-4.87,StopLoss (PnL=-4.9%),Mom12m=28.0% | Mom6m=5.0% | Mom3m=3.9% | GoldenCross,271919.92,167539.35,7
2002-10-22,DELEVERAGE,WHEAT,403.75,35.1754,1.0,2.67,Pullback=2.2%,Mom12m=45.6% | Mom6m=53.2% | Mom3m=20.2% | Mom1m=3.7% | GoldenCross | AboveSMA50,271919.92,180320.79,6
2002-10-22,SELL,WHEAT,403.75,35.1754,1.0,2.67,"TrailingStop (High=413.00, Stop=405.46)",Mom12m=45.6% | Mom6m=53.2% | Mom3m=20.2% | Mom1m=3.7% | GoldenCross | AboveSMA50,271919.92,180320.79,6
2002-10-22,BUY,WHEAT,403.75,33.6743,2.0,0.0,Strength=4,Mom12m=45.6% | Mom6m=53.2% | Mom3m=20.2% | Mom1m=3.7% | GoldenCross | AboveSMA50,271919.92,180926.86,6
2002-10-23,DELEVERAGE,NATGAS,4.26,3817.0109,1.0,21.92,MomDecay=53.3%,Mom12m=58.9% | Mom6m=29.3% | Mom3m=46.8% | Mom1m=13.8% | GoldenCross | AboveSMA50,271771.84,180926.86,6
2002-10-23,LEVERAGE_UP,NATGAS,4.26,3817.0109,2.0,21.92,Strength=4 (1.0x->2.0x),Mom12m=58.9% | Mom6m=29.3% | Mom3m=46.8% | Mom1m=13.8% | GoldenCross | AboveSMA50,271771.84,180926.86,6
2002-10-23,DELEVERAGE,SUGAR,7.1,2075.008,1.0,9.4,MomDecay=46.5%,Mom6m=16.8% | Mom3m=19.9% | Mom1m=1.6% | GoldenCross | AboveSMA50,271771.84,180926.86,6
2002-10-23,LEVERAGE_UP,SUGAR,7.1,2075.008,1.5,9.4,Strength=3 (1.0x->1.5x),Mom6m=16.8% | Mom3m=19.9% | Mom1m=1.6% | GoldenCross | AboveSMA50,271771.84,180926.86,6
2002-10-23,SELL,WHEAT,396.5,33.6743,2.0,-1.8,"TrailingStop (High=403.75, Stop=398.29)",Mom12m=38.6% | Mom6m=51.9% | Mom3m=18.4% | GoldenCross | AboveSMA50,271771.84,180926.86,6
2002-10-23,BUY,WHEAT,396.5,34.2714,1.5,0.0,Strength=3,Mom12m=38.6% | Mom6m=51.9% | Mom3m=18.4% | GoldenCross | AboveSMA50,271771.84,180445.99,6
2002-10-24,DELEVERAGE,NATGAS,4.133,3817.0109,1.0,18.29,MomDecay=62.6%,Mom12m=47.2% | Mom6m=23.7% | Mom3m=40.8% | Mom1m=18.3% | GoldenCross | AboveSMA50,272622.13,180445.99,6
2002-10-24,LEVERAGE_UP,NATGAS,4.133,3817.0109,2.0,18.29,Strength=4 (1.0x->2.0x),Mom12m=47.2% | Mom6m=23.7% | Mom3m=40.8% | Mom1m=18.3% | GoldenCross | AboveSMA50,272622.13,180445.99,6
2002-10-24,DELEVERAGE,SUGAR,7.0,2075.008,1.0,7.86,MomDecay=58.8%,Mom6m=18.4% | Mom3m=20.5% | GoldenCross | AboveSMA50,272622.13,180445.99,6
2002-10-24,LEVERAGE_UP,WHEAT,411.75,34.2714,2.0,3.85,Strength=4 (1.5x->2.0x),Mom12m=44.2% | Mom6m=59.7% | Mom3m=22.9% | Mom1m=5.3% | GoldenCross | AboveSMA50,272622.13,180445.99,6
2002-10-25,DELEVERAGE,NATGAS,4.028,3817.0109,1.0,15.28,MomDecay=60.2%,Mom12m=50.2% | Mom6m=13.5% | Mom3m=35.3% | Mom1m=9.3% | GoldenCross | AboveSMA50,272562.81,180445.99,6
2002-10-25,LEVERAGE_UP,NATGAS,4.028,3817.0109,2.0,15.28,Strength=4 (1.0x->2.0x),Mom12m=50.2% | Mom6m=13.5% | Mom3m=35.3% | Mom1m=9.3% | GoldenCross | AboveSMA50,272562.81,180445.99,6
2002-10-25,LEVERAGE_UP,SUGAR,6.99,2075.008,1.5,7.7,Strength=3 (1.0x->1.5x),Mom6m=19.9% | Mom3m=25.0% | Mom1m=1.0% | GoldenCross | AboveSMA50,272562.81,180445.99,6
2002-10-25,LEVERAGE_UP,COTTON,46.63,314.0945,2.0,5.88,Strength=4 (1.5x->2.0x),Mom12m=49.6% | Mom6m=39.0% | Mom3m=3.0% | Mom1m=11.8% | GoldenCross | AboveSMA50,272562.81,180445.99,6
2002-10-25,BUY,SOYBEANS,557.0,24.467,1.5,0.0,Strength=3,Mom12m=32.0% | Mom6m=20.6% | Mom3m=4.2% | GoldenCross | AboveSMA50,272562.81,166817.85,7
2002-10-28,DELEVERAGE,NATGAS,4.176,3817.0109,1.0,19.52,MomDecay=68.2%,Mom12m=40.1% | Mom6m=10.9% | Mom3m=44.4% | Mom1m=3.3% | GoldenCross | AboveSMA50,273077.29,166817.85,7
2002-10-28,LEVERAGE_UP,NATGAS,4.176,3817.0109,2.0,19.52,Strength=4 (1.0x->2.0x),Mom12m=40.1% | Mom6m=10.9% | Mom3m=44.4% | Mom1m=3.3% | GoldenCross | AboveSMA50,273077.29,166817.85,7
2002-10-28,DELEVERAGE,SUGAR,7.13,2075.008,1.0,9.86,MomDecay=56.2%,Mom6m=20.8% | Mom3m=25.7% | GoldenCross | AboveSMA50,273077.29,166817.85,7
2002-10-28,DELEVERAGE,COFFEE,64.7,220.2919,1.0,3.35,Pullback=5.6%,Mom12m=41.9% | Mom6m=31.0% | Mom3m=37.5% | Mom1m=16.3% | GoldenCross | AboveSMA50,273077.29,166817.85,7
2002-10-28,LEVERAGE_UP,COFFEE,64.7,220.2919,2.0,3.35,Strength=4 (1.0x->2.0x),Mom12m=41.9% | Mom6m=31.0% | Mom3m=37.5% | Mom1m=16.3% | GoldenCross | AboveSMA50,273077.29,166817.85,7
2002-10-28,DELEVERAGE,SOYBEANS,545.5,24.467,1.0,-2.06,Pullback=2.1%,Mom12m=28.5% | Mom6m=18.0% | GoldenCross,273077.29,166817.85,7
2002-10-28,SELL,SOYBEANS,545.5,24.467,1.0,-2.06,"TrailingStop (High=557.00, Stop=550.75)",Mom12m=28.5% | Mom6m=18.0% | GoldenCross,273077.29,166817.85,7
2002-10-29,DELEVERAGE,NATGAS,4.126,3817.0109,1.0,18.09,MomDecay=68.0%,Mom12m=40.4% | Mom6m=11.1% | Mom3m=39.7% | GoldenCross | AboveSMA50,271024.48,180164.62,6
2002-10-29,LEVERAGE_UP,NATGAS,4.126,3817.0109,1.5,18.09,Strength=3 (1.0x->1.5x),Mom12m=40.4% | Mom6m=11.1% | Mom3m=39.7% | GoldenCross | AboveSMA50,271024.48,180164.62,6
2002-10-29,LEVERAGE_UP,SUGAR,7.27,2075.008,1.5,12.02,Strength=3 (1.0x->1.5x),Mom6m=28.0% | Mom3m=25.3% | Mom1m=5.5% | GoldenCross | AboveSMA50,271024.48,180164.62,6
2002-10-29,DELEVERAGE,COFFEE,62.9,220.2919,1.0,0.48,Pullback=8.2%,Mom12m=43.4% | Mom6m=24.1% | Mom3m=34.4% | Mom1m=15.4% | GoldenCross | AboveSMA50,271024.48,180164.62,6
2002-10-29,DELEVERAGE,PLATINUM,588.7,23.1237,1.0,-0.24,Pullback=2.2%,Mom12m=28.5% | Mom6m=10.6% | Mom3m=12.2% | Mom1m=4.3% | GoldenCross | AboveSMA50,271024.48,180164.62,6
2002-10-29,SELL,PLATINUM,588.7,23.1237,1.0,-0.24,"TrailingStop (High=601.80, Stop=590.83)",Mom12m=28.5% | Mom6m=10.6% | Mom3m=12.2% | Mom1m=4.3% | GoldenCross | AboveSMA50,271024.48,180164.62,6
2002-10-29,BUY,PLATINUM,588.7,23.0189,2.0,0.0,Strength=4,Mom12m=28.5% | Mom6m=10.6% | Mom3m=12.2% | Mom1m=4.3% | GoldenCross | AboveSMA50,271024.48,180226.32,6
2002-10-29,BUY,SOYBEANS,557.0,24.3289,1.5,0.0,Strength=3,Mom12m=30.1% | Mom6m=21.0% | Mom1m=2.1% | GoldenCross | AboveSMA50,271024.48,166675.1,7
2002-10-30,DELEVERAGE,NATGAS,4.389,3817.0109,1.0,25.62,MomDecay=64.9%,Mom12m=44.3% | Mom6m=19.1% | Mom3m=54.4% | Mom1m=7.9% | GoldenCross | AboveSMA50,271066.42,166675.1,7
2002-10-30,LEVERAGE_UP,NATGAS,4.389,3817.0109,2.0,25.62,Strength=4 (1.0x->2.0x),Mom12m=44.3% | Mom6m=19.1% | Mom3m=54.4% | Mom1m=7.9% | GoldenCross | AboveSMA50,271066.42,166675.1,7
2002-10-30,DELEVERAGE,WHEAT,406.75,34.2714,1.0,2.59,Pullback=2.2%,Mom12m=43.5% | Mom6m=57.4% | Mom3m=21.5% | Mom1m=2.6% | GoldenCross | AboveSMA50,271066.42,166675.1,7
2002-10-30,SELL,WHEAT,406.75,34.2714,1.0,2.59,"TrailingStop (High=415.75, Stop=407.71)",Mom12m=43.5% | Mom6m=57.4% | Mom3m=21.5% | Mom1m=2.6% | GoldenCross | AboveSMA50,271066.42,166675.1,7
2002-10-30,BUY,WHEAT,406.75,33.321,2.0,0.0,Strength=4,Mom12m=43.5% | Mom6m=57.4% | Mom3m=21.5% | Mom1m=2.6% | GoldenCross | AboveSMA50,271066.42,167061.65,7
2002-10-31,DELEVERAGE,NATGAS,4.156,3817.0109,1.0,18.95,MomDecay=76.4%,Mom12m=29.8% | Mom6m=11.3% | Mom3m=45.4% | GoldenCross | AboveSMA50,271254.88,167061.65,7
