date,ticker,pattern,mom_12m,rsi,pct_from_high,fwd_6m,fwd_12m,year,put_return,quarter
2021-10-01 00:00:00-04:00,BB,down_50_from_high,1.1179039237660224,39.67827677933149,-0.6135458302053957,-0.3041236976569205,-0.5041237074886147,2021,1.534364147141004,2021Q4
2023-11-22 00:00:00-05:00,IREN,down_50_from_high,1.038709795512224,40.00000298023197,-0.5922580534412015,1.4778480098198274,2.4113922279015974,2023,-1.0,2023Q4
2024-01-17 00:00:00-05:00,IREN,down_50_from_high,1.5737704522911082,21.745153927916235,-0.5073221933670358,1.1719744075121188,1.5456474891739744,2024,-1.0,2024Q1
2024-10-09 00:00:00-04:00,IREN,down_50_from_high,1.2896342360941455,47.635137420923165,-0.5003326438917223,-0.25033289708978224,7.540612175080884,2024,1.0861074757481854,2024Q4
2010-02-09 00:00:00-05:00,JAZZ,deep_oversold,8.089109298867607,23.69943391452324,-0.1654545177112926,0.029411709707365397,1.5381261941705775,2010,-0.8,2010Q1
2010-04-12 00:00:00-04:00,JAZZ,deep_oversold,10.18627456938565,29.724416433301315,-0.15293247058495352,-0.1139351628501305,1.9912358917214381,2010,-0.0505403095822458,2010Q2
2010-07-06 00:00:00-04:00,JAZZ,below_200sma,1.2672174332710422,43.79561497575613,-0.38901266673458734,1.4252734136907312,3.3304983441061067,2010,-1.0,2010Q3
2011-04-29 00:00:00-04:00,JAZZ,deep_oversold,2.1469426791908366,28.897335369771668,-0.07560835966804177,0.2491382262912858,0.5991851777910739,2011,-1.0,2011Q2
2011-11-03 00:00:00-04:00,JAZZ,deep_oversold,2.020967761038742,28.80709824397998,-0.199572656086533,0.3553123784994452,0.42819010431252247,2011,-1.0,2011Q4
2016-12-08 00:00:00-05:00,ACB,deep_oversold,2.1484536773383525,24.59016431410926,-0.36612698562486584,0.08251473358649797,2.6136214951818357,2016,-0.95,2016Q4
2017-02-06 00:00:00-05:00,ACB,deep_oversold,3.688654520866148,27.744506827841136,-0.26234945552582367,0.10298253783037237,4.18851982465481,2017,-0.95,2017Q1
2017-05-01 00:00:00-04:00,ACB,deep_oversold,3.5229355606209944,29.564490814099315,-0.1983739670054968,0.12576071039311,2.103448321977118,2017,-0.95,2017Q2
2017-08-11 00:00:00-04:00,ACB,deep_oversold,2.801980257480864,21.98276254046779,-0.21951214936398863,3.687500167402126,1.3281250611661615,2017,-1.0,2017Q3
2018-02-27 00:00:00-05:00,ACB,deep_oversold,2.865336723628367,27.230490651571415,-0.35086692965161476,-0.049974199409233866,0.011576781564480942,2018,-0.5835483382563844,2018Q1
2018-04-02 00:00:00-04:00,ACB,deep_oversold,2.5309277786436373,18.750001847832607,-0.4262501460094835,0.4533139130726711,0.3730789049215206,2018,-1.0,2018Q2
2018-07-12 00:00:00-04:00,ACB,deep_oversold,2.6363635850806553,25.36832539979727,-0.4304380779302756,-0.027050040923563223,0.06902500463841754,2018,-0.7745829923036398,2018Q3
2018-10-26 00:00:00-04:00,ACB,below_200sma,2.2591427904384966,28.44555645871327,-0.3972602721830093,0.278409109381605,-0.488636356247358,2018,-1.0,2018Q4
2024-12-23 00:00:00-05:00,DOYU,deep_oversold,2.070502440492846,28.876978412706677,-0.13917118168786022,0.5540725448249606,0.6514990754002066,2024,-1.0,2024Q4
2025-04-03 00:00:00-04:00,DOYU,deep_oversold,4.163648869237897,26.27345882204348,-0.2491978936344129,0.05982907085970002,,2025,-0.95,2025Q2
2018-01-10 00:00:00-05:00,RIOT,deep_oversold,6.086495793574723,26.215067256353407,-0.4056994445365726,-0.8007846527781646,-0.929380995333315,2018,5.673205439818038,2018Q1
2018-04-05 00:00:00-04:00,RIOT,down_50_from_high,1.0706426937079154,46.934455644911296,-0.8129533659170424,-0.5246537366301494,-0.3822714449097533,2018,3.3721144719179117,2018Q2
2018-08-13 00:00:00-04:00,RIOT,down_50_from_high,1.044652288700418,24.159016367624986,-0.8261657952487845,-0.6855439816542057,-0.7287630339634548,2018,4.712866513785047,2018Q3
2021-04-20 00:00:00-04:00,RIOT,down_50_from_high,34.054545943205014,36.50761047517816,-0.5050064105521086,-0.22717847054585882,-0.6141078945928746,2021,0.8931539212154903,2021Q2
2021-07-08 00:00:00-04:00,RIOT,down_50_from_high,12.27559123115226,48.09461854399347,-0.5671373483927197,-0.3641755706433941,-0.8380782965454139,2021,2.0347964220282844,2021Q3
2021-10-01 00:00:00-04:00,RIOT,down_50_from_high,8.84905639327944,37.40157438925396,-0.664955072269169,-0.20574715558417955,-0.724521074630897,2021,0.714559629868163,2021Q4
2024-01-12 00:00:00-05:00,RIOT,below_200sma,1.1843575032059972,31.571220831715863,-0.42188274948476207,0.0826939731358145,0.14748512902165212,2024,-0.95,2024Q1
1987-12-04 00:00:00-05:00,MU,down_50_from_high,1.0322574551900079,37.03705549446148,-0.5078124720164144,1.8571429023447736,1.0793650278851188,1987,-1.0,1987Q4
1988-10-27 00:00:00-04:00,MU,below_200sma,1.3333332578256023,46.15385942355331,-0.24509795970176718,0.10389557772347557,-0.43506498885894185,1988,-0.95,1988Q4
1995-09-29 00:00:00-04:00,MU,deep_oversold,3.621442609014716,27.611979273397935,-0.1589405817853397,-0.600788344555508,-0.606557309398229,1995,4.006569537962567,1995Q3
1995-10-02 00:00:00-04:00,MU,deep_oversold,3.785181490151829,27.61199867349653,-0.18278157345008322,-0.6005096314007325,-0.6032102770206471,1995,4.004246928339438,1995Q4
2013-10-25 00:00:00-04:00,MU,deep_oversold,2.0646955001590808,29.97897188888666,-0.10329905759788904,0.5138719433831724,0.948130245868742,2013,-1.0,2013Q4
2023-02-23 00:00:00-05:00,MAXN,below_200sma,1.0258939580764488,17.108167770419428,-0.3717017208413002,-0.18137553256238592,-0.7504564820450396,2023,0.511462771353216,2023Q1
2020-11-09 00:00:00-05:00,ZM,deep_oversold,4.916105930732087,28.70413987811027,-0.2729000761731257,-0.2989545565454018,-0.3746975123343481,2020,1.491287971211682,2020Q4
2021-01-06 00:00:00-05:00,ZM,deep_oversold,3.790125123128769,28.945349313844673,-0.3940071306121568,0.12078628861294094,-0.4922330854989271,2021,-0.95,2021Q1
2021-04-01 00:00:00-04:00,ZM,below_200sma,1.3812409561045849,41.8234896732109,-0.4259950107837649,-0.19841832083634048,-0.6406523023357082,2021,0.6534860069695041,2021Q2
2009-12-15 00:00:00-05:00,CDNS,below_200sma,1.2068967281205043,37.42331108872218,-0.2932514725785272,0.11458330228924885,0.43402776053106407,2009,-0.95,2009Q4
2002-04-01 00:00:00-05:00,BKNG,below_200sma,1.2789190042588894,46.87501893117131,-0.46821391141175456,-0.7020873215440164,-0.6888045529745244,2002,4.85072767953347,2002Q2
2003-09-25 00:00:00-04:00,BKNG,deep_oversold,2.20022421354497,21.19840828105545,-0.27551279983215204,-0.09122693160244943,-0.2963998657306479,2003,-0.23977556997958802,2003Q3
2003-10-01 00:00:00-04:00,BKNG,deep_oversold,2.148268740783851,28.731041818787332,-0.2633578118184183,-0.07184612342755403,-0.21485044549843757,2003,-0.40128230477038307,2003Q4
2004-02-04 00:00:00-05:00,BKNG,down_50_from_high,1.3802084858348973,49.24052807224186,-0.5370979775280458,0.021881841091081267,0.21444202148299452,2004,-0.8,2004Q1
2004-04-16 00:00:00-04:00,BKNG,below_200sma,1.219819516787429,36.45421342174997,-0.3760446195228134,-0.15543843784329447,0.006493697051070946,2004,0.29532031536078734,2004Q2
2010-01-14 00:00:00-05:00,BKNG,deep_oversold,2.023460673026745,27.62662665547012,-0.08929515652153676,0.045217306425749726,1.1052355864594037,2010,-0.8,2010Q1
2010-05-17 00:00:00-04:00,BKNG,below_200sma,1.0083281345386341,28.526486807055832,-0.2668498596739746,1.073095190276414,1.515013804586073,2010,-1.0,2010Q2
1991-09-11 00:00:00-04:00,TECH,deep_oversold,2.0952315983280894,15.384526368371525,-0.21686753142097873,0.2923063371058101,0.4615382079775998,1991,-1.0,1991Q3
1991-12-03 00:00:00-05:00,TECH,deep_oversold,2.478251080013351,19.5121159343973,-0.2380955358063901,0.09999984044536703,0.525000159554633,1991,-0.95,1991Q4
1992-01-30 00:00:00-05:00,TECH,deep_oversold,2.759989299840692,20.000118526244677,-0.11320719824787437,-0.10638327176819906,0.46808461109600175,1992,-0.11347273526500778,1992Q1
2000-07-24 00:00:00-04:00,TECH,deep_oversold,3.0431039788149077,26.02334001209114,-0.2077705567501618,-0.45948821505673676,-0.5102769741021217,2000,2.8290684588061397,2000Q3
2000-11-16 00:00:00-05:00,TECH,below_200sma,1.2009055706532967,39.39078766050414,-0.38471306502898317,-0.17397376128118425,-0.28949882551230965,2000,0.4497813440098688,2000Q4
2010-07-02 00:00:00-04:00,UAL,deep_oversold,4.616314342584887,22.658221858028526,-0.22444719711648983,0.28133402363142346,0.23883811175975334,2010,-1.0,2010Q3
2010-11-16 00:00:00-05:00,UAL,deep_oversold,2.6191743644224377,29.8456225366821,-0.07958009911366098,-0.04598969779120887,-0.34142754166483047,2010,-0.6167525184065927,2010Q4
2024-09-09 00:00:00-04:00,HIMS,below_200sma,1.0665680168681844,19.529400676997028,-0.4364663271037385,1.4287759238813629,2.7050821282870103,2024,-1.0,2024Q3
2025-03-12 00:00:00-04:00,HIMS,down_50_from_high,1.379382872410818,19.066663469587056,-0.5064009112653886,0.5254936002354702,,2025,-1.0,2025Q1
2025-04-01 00:00:00-04:00,HIMS,down_50_from_high,1.0071104525600667,44.63886633903256,-0.548297931306368,0.8135266588374253,,2025,-1.0,2025Q2
2021-03-03 00:00:00-05:00,DDOG,below_200sma,1.0737326459846797,20.21449823344561,-0.23631734267893714,0.5311111450195312,0.8275555080837673,2021,-1.0,2021Q1
2021-04-05 00:00:00-04:00,DDOG,below_200sma,1.405780391176274,43.87439878665431,-0.2936784137332988,0.7382268879704408,0.8440654005207675,2021,-1.0,2021Q2
