date,ticker,old_lev,new_lev,reason
2005-03-18,COPPER,1.0,1.0,DELEVERAGE: Mom decay 10.5% vs peak 29.5%
2005-03-18,RUSSELL2000,1.0,1.0,DELEVERAGE: Short-term reversal -2.5%
2005-03-21,COPPER,2.5,2.5,LEVERAGE UP to 2.5x: 12m=10.4% | >5%>SMA200 | GoldenX
2005-03-22,COPPER,1.0,1.0,DELEVERAGE: Mom decay 9.4% vs peak 29.5%
2005-03-22,XLE,1.0,1.0,DELEVERAGE: Pullback 2.1%
2005-03-22,GBPUSD,1.0,1.0,DELEVERAGE: Mom decay 1.6% vs peak 2.9%
2005-03-22,XLF,1.0,1.0,DELEVERAGE: Mom decay -0.4% vs peak 0.2%
2005-03-23,NATGAS,1.0,1.0,DELEVERAGE: Pullback 2.5%
2005-03-23,EURUSD,1.0,1.0,DELEVERAGE: Short-term reversal -2.0%
2005-03-23,PLATINUM,1.0,1.0,DELEVERAGE: Mom decay 1.6% vs peak 6.7%
2005-03-24,NATGAS,3.0,3.0,LEVERAGE UP to 3.0x: 12m=27.3% | Strong12m | 1m=11.9% | >5%>SMA200 | GoldenX
2005-03-24,DOW,1.0,1.0,DELEVERAGE: Short-term reversal -2.2%
2005-03-24,COPPER,1.0,1.0,DELEVERAGE: Short-term reversal -2.7%
2005-03-24,HANGSENG,1.0,1.0,DELEVERAGE: Short-term reversal -2.6%
2005-03-24,GOLD,1.0,1.0,DELEVERAGE: Mom decay 1.7% vs peak 3.1%
2005-03-28,EURUSD,1.0,1.0,DELEVERAGE: Short-term reversal -2.6%
2005-03-29,COPPER,2.5,2.5,LEVERAGE UP to 2.5x: 12m=8.9% | >5%>SMA200 | GoldenX
2005-03-29,GBPUSD,1.0,1.0,DELEVERAGE: Short-term reversal -2.3%
2005-03-30,DAX,1.0,1.0,DELEVERAGE: Mom decay 8.5% vs peak 15.8%
2005-03-30,XLE,1.0,1.0,DELEVERAGE: Short-term reversal -3.9%
2005-03-30,RUSSELL2000,1.0,1.0,DELEVERAGE: Short-term reversal -3.0%
2005-03-31,XLE,3.0,3.0,LEVERAGE UP to 3.0x: 12m=49.7% | Strong12m | 3m=18.2% | >5%>SMA200 | GoldenX
2005-04-01,USDJPY,1.0,1.0,DELEVERAGE: Mom decay 0.8% vs peak 1.7%
2005-04-04,NATGAS,1.0,1.0,DELEVERAGE: Pullback 2.0%
2005-04-05,NATGAS,3.0,3.0,LEVERAGE UP to 3.0x: 12m=27.6% | Strong12m | 3m=30.8% | 1m=12.3% | >5%>SMA200 | GoldenX
2005-04-05,XLE,1.0,1.0,DELEVERAGE: Pullback 2.1%
2005-04-06,COPPER,3.0,3.0,LEVERAGE UP to 3.0x: 12m=12.1% | 1m=2.0% | >5%>SMA200 | GoldenX
2005-04-06,NATGAS,1.0,1.0,DELEVERAGE: Pullback 2.5%
2005-04-06,XLE,3.0,3.0,LEVERAGE UP to 3.0x: 12m=51.4% | Strong12m | 3m=25.9% | >5%>SMA200 | GoldenX
2005-04-07,XLV,2.5,2.5,LEVERAGE UP to 2.5x: 12m=1.0% | >5%>SMA200 | GoldenX
2005-04-07,NATGAS,3.0,3.0,LEVERAGE UP to 3.0x: 12m=26.7% | Strong12m | 3m=26.3% | 1m=7.6% | >5%>SMA200 | GoldenX
2005-04-07,XLE,1.0,1.0,DELEVERAGE: Short-term reversal -2.0%
2005-04-07,RUSSELL2000,1.5,1.5,LEVERAGE UP to 1.5x: 12m=3.4% | GoldenX
2005-04-08,XLV,1.0,1.0,DELEVERAGE: Mom decay 0.7% vs peak 3.5%
2005-04-08,DAX,2.5,2.5,LEVERAGE UP to 2.5x: 12m=9.9% | >5%>SMA200 | GoldenX
2005-04-08,XLE,3.0,3.0,LEVERAGE UP to 3.0x: 12m=48.1% | Strong12m | 3m=21.6% | >5%>SMA200 | GoldenX
2005-04-08,RUSSELL2000,1.0,1.0,DELEVERAGE: Mom decay 1.5% vs peak 5.5%
2005-04-11,XLV,1.5,1.5,LEVERAGE UP to 1.5x: 12m=1.3% | GoldenX
2005-04-11,DAX,1.0,1.0,DELEVERAGE: Mom decay 9.0% vs peak 15.8%
2005-04-11,XLE,1.0,1.0,DELEVERAGE: Pullback 2.0%
2005-04-12,XLV,1.0,1.0,DELEVERAGE: Mom decay 1.2% vs peak 3.5%
2005-04-12,XLE,3.0,3.0,LEVERAGE UP to 3.0x: 12m=42.8% | Strong12m | 3m=20.6% | >5%>SMA200 | GoldenX
2005-04-13,XLV,3.0,3.0,LEVERAGE UP to 3.0x: 12m=2.5% | 1m=2.1% | >5%>SMA200 | GoldenX
2005-04-13,DAX,2.5,2.5,LEVERAGE UP to 2.5x: 12m=8.5% | >5%>SMA200 | GoldenX
2005-04-14,XLV,1.0,1.0,DELEVERAGE: Mom decay 1.1% vs peak 3.5%
2005-04-14,DAX,1.0,1.0,DELEVERAGE: Mom decay 9.3% vs peak 15.8%
2005-04-14,COPPER,1.0,1.0,DELEVERAGE: Pullback 2.0%
2005-04-14,XLE,1.0,1.0,DELEVERAGE: Short-term reversal -2.5%
2005-04-14,RUSSELL2000,1.0,1.0,DELEVERAGE: Mom decay 1.7% vs peak 2.9%
2005-04-15,NATGAS,1.0,1.0,DELEVERAGE: Short-term reversal -2.7%
2005-04-18,GBPUSD,1.5,1.5,LEVERAGE UP to 1.5x: 12m=7.5% | GoldenX
2005-04-18,RUSSELL2000,1.0,1.0,DELEVERAGE: Short-term reversal -6.4%
2005-04-18,CRUDE,1.0,1.0,DELEVERAGE: Short-term reversal -10.7%
2005-04-19,TBOND,2.5,2.5,LEVERAGE UP to 2.5x: 12m=6.3% | 1m=2.5% | GoldenX
2005-04-19,RUSSELL2000,1.5,1.5,LEVERAGE UP to 1.5x: 12m=1.4% | GoldenX
2005-04-19,CRUDE,3.0,3.0,LEVERAGE UP to 3.0x: 12m=39.2% | Strong12m | 3m=8.1% | >5%>SMA200 | GoldenX
2005-04-19,DAX,1.0,1.0,DELEVERAGE: Short-term reversal -2.6%
2005-04-19,HANGSENG,1.0,1.0,DELEVERAGE: Short-term reversal -2.8%
2005-04-20,GOLD,1.5,1.5,LEVERAGE UP to 1.5x: 12m=9.5% | GoldenX
2005-04-20,COPPER,3.0,3.0,LEVERAGE UP to 3.0x: 12m=17.2% | Strong12m | 3m=5.3% | >5%>SMA200 | GoldenX
2005-04-20,RUSSELL2000,1.0,1.0,DELEVERAGE: Short-term reversal -5.9%
2005-04-20,CRUDE,1.0,1.0,DELEVERAGE: Short-term reversal -7.4%
2005-04-20,FTSE,1.0,1.0,DELEVERAGE: Short-term reversal -2.1%
2005-04-21,GBPUSD,2.5,2.5,LEVERAGE UP to 2.5x: 12m=7.8% | 1m=2.1% | GoldenX
2005-04-21,RUSSELL2000,1.5,1.5,LEVERAGE UP to 1.5x: 12m=2.7% | GoldenX
2005-04-21,CRUDE,3.0,3.0,LEVERAGE UP to 3.0x: 12m=44.8% | Strong12m | 3m=15.5% | >5%>SMA200 | GoldenX
2005-04-21,SILVER,1.0,1.0,DELEVERAGE: Mom decay 1.0% vs peak 3.7%
2005-04-22,COPPER,1.0,1.0,DELEVERAGE: Mom decay 9.8% vs peak 17.2%
2005-04-22,RUSSELL2000,1.0,1.0,DELEVERAGE: Mom decay -0.6% vs peak 2.7%
2005-04-22,HANGSENG,1.5,1.5,LEVERAGE UP to 1.5x: 12m=9.9% | GoldenX
2005-04-25,GOLD,2.5,2.5,LEVERAGE UP to 2.5x: 12m=9.3% | 1m=2.2% | GoldenX
2005-04-25,XLE,3.0,3.0,LEVERAGE UP to 3.0x: 12m=43.8% | Strong12m | 3m=16.5% | >5%>SMA200 | GoldenX
2005-04-25,RUSSELL2000,1.5,1.5,LEVERAGE UP to 1.5x: 12m=1.0% | GoldenX
2005-04-26,PLATINUM,2.5,2.5,LEVERAGE UP to 2.5x: 12m=6.9% | 1m=2.7% | GoldenX
2005-04-26,RUSSELL2000,1.0,1.0,DELEVERAGE: Mom decay -0.3% vs peak 2.7%
2005-04-26,CRUDE,1.0,1.0,DELEVERAGE: Pullback 2.1%
2005-04-28,HANGSENG,2.5,2.5,LEVERAGE UP to 2.5x: 12m=14.3% | 1m=3.7% | GoldenX
2005-04-28,XLE,1.0,1.0,DELEVERAGE: Pullback 2.0%
2005-04-28,NATGAS,1.0,1.0,DELEVERAGE: Short-term reversal -9.5%
2005-04-29,XLV,3.0,3.0,LEVERAGE UP to 3.0x: 12m=1.5% | 3m=6.2% | 1m=3.5% | >5%>SMA200 | GoldenX
2005-05-02,XLV,1.0,1.0,DELEVERAGE: Mom decay 1.8% vs peak 3.5%
2005-05-02,RUSSELL2000,1.0,1.0,DELEVERAGE: Short-term reversal -4.2%
2005-05-03,XLV,3.0,3.0,LEVERAGE UP to 3.0x: 12m=0.4% | 3m=5.4% | 1m=4.2% | >5%>SMA200 | GoldenX
2005-05-03,DOW,1.0,1.0,DELEVERAGE: Mom decay -0.6% vs peak 0.3%
2005-05-04,XLV,1.0,1.0,DELEVERAGE: Mom decay 1.6% vs peak 3.5%
2005-05-04,PLATINUM,1.0,1.0,DELEVERAGE: Mom decay 1.7% vs peak 3.8%
2005-05-04,RUSSELL2000,1.5,1.5,LEVERAGE UP to 1.5x: 12m=4.5% | GoldenX
2005-05-05,XLV,3.0,3.0,LEVERAGE UP to 3.0x: 12m=1.0% | 3m=6.3% | 1m=3.1% | >5%>SMA200 | GoldenX
2005-05-05,DAX,1.5,1.5,LEVERAGE UP to 1.5x: 12m=13.9% | GoldenX
2005-05-05,HANGSENG,3.0,3.0,LEVERAGE UP to 3.0x: 12m=15.6% | Strong12m | 1m=4.1% | GoldenX
2005-05-05,RUSSELL2000,1.0,1.0,DELEVERAGE: Short-term reversal -3.3%
2005-05-05,COPPER,1.0,1.0,DELEVERAGE: Short-term reversal -2.5%
2005-05-06,XLV,1.0,1.0,DELEVERAGE: Mom decay 0.9% vs peak 3.5%
2005-05-06,RUSSELL2000,1.5,1.5,LEVERAGE UP to 1.5x: 12m=5.9% | GoldenX
2005-05-09,XLV,3.0,3.0,LEVERAGE UP to 3.0x: 12m=2.3% | 3m=5.6% | 1m=3.1% | >5%>SMA200 | GoldenX
2005-05-09,DAX,1.0,1.0,DELEVERAGE: Short-term reversal -2.5%
2005-05-10,COPPER,3.0,3.0,LEVERAGE UP to 3.0x: 12m=21.2% | Strong12m | 3m=5.2% | >5%>SMA200 | GoldenX
2005-05-11,RUSSELL2000,1.0,1.0,DELEVERAGE: Short-term reversal -2.8%
2005-05-11,COPPER,1.0,1.0,DELEVERAGE: Short-term reversal -3.9%
2005-05-12,XLF,1.0,1.0,DELEVERAGE: Pullback 2.1%
2005-05-13,GBPUSD,1.0,1.0,DELEVERAGE: Mom decay 2.1% vs peak 4.0%
2005-05-13,XLE,1.0,1.0,DELEVERAGE: Short-term reversal -6.1%
2005-05-13,GOLD,1.0,1.0,DELEVERAGE: Short-term reversal -2.1%
2005-05-16,CRUDE,1.0,1.0,DELEVERAGE: Short-term reversal -3.7%
2005-05-17,XLF,1.5,1.5,LEVERAGE UP to 1.5x: 12m=7.9% | 1m=3.4%
2005-05-17,EURUSD,1.0,1.0,DELEVERAGE: Mom decay 2.7% vs peak 5.7%
2005-05-17,COPPER,1.0,1.0,DELEVERAGE: Short-term reversal -2.0%
2005-05-17,GBPUSD,1.0,1.0,DELEVERAGE: Mom decay -0.1% vs peak 1.3%
2005-05-17,NATGAS,1.0,1.0,DELEVERAGE: Mom decay -0.1% vs peak 0.6%
2005-05-18,DAX,2.5,2.5,LEVERAGE UP to 2.5x: 12m=13.0% | 1m=2.9% | GoldenX
2005-05-18,FTSE,2.5,2.5,LEVERAGE UP to 2.5x: 12m=10.7% | 1m=2.5% | GoldenX
2005-05-18,COPPER,2.5,2.5,LEVERAGE UP to 2.5x: 12m=23.5% | Strong12m | GoldenX
2005-05-18,DOW,2.5,2.5,LEVERAGE UP to 2.5x: 12m=5.0% | 1m=3.3% | GoldenX
2005-05-18,RUSSELL2000,2.5,2.5,LEVERAGE UP to 2.5x: 12m=12.0% | 1m=2.2% | GoldenX
2005-05-19,DAX,3.0,3.0,LEVERAGE UP to 3.0x: 12m=12.7% | 1m=4.4% | >5%>SMA200 | GoldenX
2005-05-19,COPPER,1.0,1.0,DELEVERAGE: Short-term reversal -2.0%
2005-05-20,COPPER,2.5,2.5,LEVERAGE UP to 2.5x: 12m=25.4% | Strong12m | GoldenX
2005-05-23,XLE,3.0,3.0,LEVERAGE UP to 3.0x: 12m=40.6% | Strong12m | >5%>SMA200 | GoldenX
2005-05-23,COPPER,3.0,3.0,LEVERAGE UP to 3.0x: 12m=30.1% | Strong12m | >5%>SMA200 | GoldenX
2005-05-23,GOLD,1.0,1.0,DELEVERAGE: Short-term reversal -3.8%
2005-05-24,XLE,1.0,1.0,DELEVERAGE: Short-term reversal -5.0%
2005-05-24,CRUDE,2.5,2.5,LEVERAGE UP to 2.5x: 12m=21.4% | Strong12m | GoldenX
2005-05-25,XLF,1.0,1.0,DELEVERAGE: Mom decay 4.9% vs peak 8.3%
2005-05-25,XLE,3.0,3.0,LEVERAGE UP to 3.0x: 12m=37.8% | Strong12m | >5%>SMA200 | GoldenX
2005-05-25,RUSSELL2000,1.0,1.0,DELEVERAGE: Mom decay 7.3% vs peak 12.9%
2005-05-25,CRUDE,1.0,1.0,DELEVERAGE: Short-term reversal -5.9%
2005-05-26,XLF,1.5,1.5,LEVERAGE UP to 1.5x: 12m=5.0% | 1m=3.4%
2005-05-26,RUSSELL2000,1.5,1.5,LEVERAGE UP to 1.5x: 12m=8.3% | 1m=4.7%
2005-05-26,CRUDE,2.5,2.5,LEVERAGE UP to 2.5x: 12m=22.3% | Strong12m | GoldenX
2005-05-27,XLV,1.0,1.0,DELEVERAGE: Mom decay 3.3% vs peak 6.5%
2005-05-27,XLF,1.0,1.0,DELEVERAGE: Mom decay 4.9% vs peak 8.3%
2005-05-27,DOW,1.0,1.0,DELEVERAGE: Mom decay 3.3% vs peak 5.6%
2005-05-27,CRUDE,3.0,3.0,LEVERAGE UP to 3.0x: 12m=26.0% | Strong12m | >5%>SMA200 | GoldenX
2005-05-30,NIKKEI,1.0,1.0,DELEVERAGE: Mom decay 2.7% vs peak 5.0%
2005-05-31,XLV,2.5,2.5,LEVERAGE UP to 2.5x: 12m=3.0% | >5%>SMA200 | GoldenX
2005-05-31,XLF,1.5,1.5,LEVERAGE UP to 1.5x: 12m=4.7% | 1m=3.0%
2005-05-31,DOW,1.5,1.5,LEVERAGE UP to 1.5x: 12m=2.7% | 1m=2.7%
